Id Cidade                       Cidade                                              Id Estado                       Sigla Estado Estado
------------------------------- --------------------------------------------------- ------------------------------- ------------ ---------------------
108;                            Major Isidoro;                                      2;                              AL;          Alagoas;
109;                            Mar Vermelho;                                       2;                              AL;          Alagoas;
110;                            Maragogi;                                           2;                              AL;          Alagoas;
111;                            Maravilha;                                          2;                              AL;          Alagoas;
112;                            Marechal Deodoro;                                   2;                              AL;          Alagoas;
113;                            Maribondo;                                          2;                              AL;          Alagoas;
114;                            Massaranduba;                                       2;                              AL;          Alagoas;
115;                            Mata Grande;                                        2;                              AL;          Alagoas;
116;                            Matriz de Camaragibe;                               2;                              AL;          Alagoas;
117;                            Messias;                                            2;                              AL;          Alagoas;
118;                            Minador do Negrao;                                  2;                              AL;          Alagoas;
119;                            Monteiropolis;                                      2;                              AL;          Alagoas;
120;                            Moreira;                                            2;                              AL;          Alagoas;
121;                            Munguba;                                            2;                              AL;          Alagoas;
122;                            Murici;                                             2;                              AL;          Alagoas;
123;                            Novo Lino;                                          2;                              AL;          Alagoas;
124;                            Olho D Agua Grande;                                 2;                              AL;          Alagoas;
125;                            Olho D'agua Das Flores;                             2;                              AL;          Alagoas;
126;                            Olho D'agua De Cima;                                2;                              AL;          Alagoas;
127;                            Olho D'agua Do Casado;                              2;                              AL;          Alagoas;
128;                            Olho D'agua Dos Dandanhas;                          2;                              AL;          Alagoas;
129;                            Olivenca;                                           2;                              AL;          Alagoas;
130;                            Ouro Branco;                                        2;                              AL;          Alagoas;
131;                            Palestina;                                          2;                              AL;          Alagoas;
132;                            Palmeira de Fora;                                   2;                              AL;          Alagoas;
133;                            Palmeira dos Indios;                                2;                              AL;          Alagoas;
134;                            Pao de Acucar;                                      2;                              AL;          Alagoas;
135;                            Pariconha;                                          2;                              AL;          Alagoas;
136;                            Paripueira;                                         2;                              AL;          Alagoas;
137;                            Passo de Camaragibe;                                2;                              AL;          Alagoas;
138;                            Pau D'arco;                                         2;                              AL;          Alagoas;
139;                            Pau Ferro;                                          2;                              AL;          Alagoas;
140;                            Paulo Jacinto;                                      2;                              AL;          Alagoas;
141;                            Penedo;                                             2;                              AL;          Alagoas;
142;                            Piacabucu;                                          2;                              AL;          Alagoas;
143;                            Pilar;                                              2;                              AL;          Alagoas;
144;                            Pindoba;                                            2;                              AL;          Alagoas;
145;                            Piranhas;                                           2;                              AL;          Alagoas;
146;                            Pocao;                                              2;                              AL;          Alagoas;
147;                            Poco da Pedra;                                      2;                              AL;          Alagoas;
148;                            Poco das Trincheiras;                               2;                              AL;          Alagoas;
149;                            Porto Calvo;                                        2;                              AL;          Alagoas;
150;                            Porto de Pedras;                                    2;                              AL;          Alagoas;
151;                            Porto Real do Colegio;                              2;                              AL;          Alagoas;
152;                            Poxim;                                              2;                              AL;          Alagoas;
153;                            Quebrangulo;                                        2;                              AL;          Alagoas;
154;                            Riacho do Sertao;                                   2;                              AL;          Alagoas;
155;                            Riacho Fundo de Cima;                               2;                              AL;          Alagoas;
156;                            Rio Largo;                                          2;                              AL;          Alagoas;
157;                            Rocha Cavalcante;                                   2;                              AL;          Alagoas;
158;                            Roteiro;                                            2;                              AL;          Alagoas;
159;                            Santa Efigenia;                                     2;                              AL;          Alagoas;
160;                            Santa Luzia do Norte;                               2;                              AL;          Alagoas;
161;                            Santana do Ipanema;                                 2;                              AL;          Alagoas;
162;                            Santana do Mundau;                                  2;                              AL;          Alagoas;
163;                            Santo Antonio;                                      2;                              AL;          Alagoas;
164;                            Sao Bras;                                           2;                              AL;          Alagoas;
165;                            Sao Jose da Laje;                                   2;                              AL;          Alagoas;
166;                            Sao Jose da Tapera;                                 2;                              AL;          Alagoas;
167;                            Sao Luis do Quitunde;                               2;                              AL;          Alagoas;
168;                            Sao Miguel dos Campos;                              2;                              AL;          Alagoas;
169;                            Sao Miguel dos Milagres;                            2;                              AL;          Alagoas;
170;                            Sao Sebastiao;                                      2;                              AL;          Alagoas;
171;                            Sapucaia;                                           2;                              AL;          Alagoas;
172;                            Satuba;                                             2;                              AL;          Alagoas;
173;                            Senador Rui Palmeira;                               2;                              AL;          Alagoas;
174;                            Serra da Mandioca;                                  2;                              AL;          Alagoas;
175;                            Serra do Sao Jose;                                  2;                              AL;          Alagoas;
176;                            Taboleiro do Pinto;                                 2;                              AL;          Alagoas;
177;                            Taboquinha;                                         2;                              AL;          Alagoas;
178;                            Tanque D'arca;                                      2;                              AL;          Alagoas;
179;                            Taquarana;                                          2;                              AL;          Alagoas;
180;                            Tatuamunha;                                         2;                              AL;          Alagoas;
181;                            Teotonio Vilela;                                    2;                              AL;          Alagoas;
182;                            Traipu;                                             2;                              AL;          Alagoas;
183;                            Uniao dos Palmares;                                 2;                              AL;          Alagoas;
184;                            Usina Camacari;                                     2;                              AL;          Alagoas;
185;                            Vicosa;                                             2;                              AL;          Alagoas;
186;                            Vila Aparecida;                                     2;                              AL;          Alagoas;
187;                            Vila Sao Francisco;                                 2;                              AL;          Alagoas;
188;                            Alvaraes;                                           3;                              AM;          Amazonas;
189;                            Amatari;                                            3;                              AM;          Amazonas;
190;                            Amatura;                                            3;                              AM;          Amazonas;
191;                            Anama;                                              3;                              AM;          Amazonas;
192;                            Anori;                                              3;                              AM;          Amazonas;
193;                            Apui;                                               3;                              AM;          Amazonas;
194;                            Ariau;                                              3;                              AM;          Amazonas;
195;                            Atalaia do Norte;                                   3;                              AM;          Amazonas;
196;                            Augusto Montenegro;                                 3;                              AM;          Amazonas;
197;                            Autazes;                                            3;                              AM;          Amazonas;
198;                            Axinim;                                             3;                              AM;          Amazonas;
199;                            Badajos;                                            3;                              AM;          Amazonas;
200;                            Balbina;                                            3;                              AM;          Amazonas;
201;                            Barcelos;                                           3;                              AM;          Amazonas;
202;                            Barreirinha;                                        3;                              AM;          Amazonas;
203;                            Benjamin Constant;                                  3;                              AM;          Amazonas;
204;                            Beruri;                                             3;                              AM;          Amazonas;
205;                            Boa Vista do Ramos;                                 3;                              AM;          Amazonas;
206;                            Boca do Acre;                                       3;                              AM;          Amazonas;
207;                            Borba;                                              3;                              AM;          Amazonas;
208;                            Caapiranga;                                         3;                              AM;          Amazonas;
209;                            Cameta;                                             3;                              AM;          Amazonas;
210;                            Canuma;                                             3;                              AM;          Amazonas;
211;                            Canutama;                                           3;                              AM;          Amazonas;
212;                            Carauari;                                           3;                              AM;          Amazonas;
213;                            Careiro;                                            3;                              AM;          Amazonas;
214;                            Careiro da Varzea;                                  3;                              AM;          Amazonas;
215;                            Carvoeiro;                                          3;                              AM;          Amazonas;
216;                            Coari;                                              3;                              AM;          Amazonas;
217;                            Codajas;                                            3;                              AM;          Amazonas;
218;                            Cucui;                                              3;                              AM;          Amazonas;
219;                            Eirunepe;                                           3;                              AM;          Amazonas;
220;                            Envira;                                             3;                              AM;          Amazonas;
221;                            Floriano Peixoto;                                   3;                              AM;          Amazonas;
222;                            Fonte Boa;                                          3;                              AM;          Amazonas;
223;                            Freguesia do Andira;                                3;                              AM;          Amazonas;
